Código,Nome do Produto,Referência,Preço,Quantidade,Variação 1,Variação 2
1173,LENTE DE PROTEÇÃO- 6000W,7899765432150,"6.408,00",72,27.9*4.1MM,
322,MANGUEIRA DE SILICONE 8MM,7899765432162,"696,05",28,,
997,CERÂMICA PARA CABEÇOTE DE CORTE LASER RAYTOOLS -D32 -M14,7899765432289,"2.898,30",35,,
34,Tubo laser CO2 130W MARCA SPT,7890001003369,"60.056,00",14,,
44,Tubo laser CO2 150W MARCA SPT,,"95.174,00",16,,
508,CORREIA 15MM LARGURA ABERTA DISTANCIA DOS DENTES 3MM,7890001003055,"4.591,20",76,,
328,MINI COMPRESSOR 125L PARA MÁQUINAS DE CORTE A LASER,ACO - 009D,"10.922,23",13,,
677,TUBO LASER 100W 8500HR BESTBEAM,7890001003260,"33.718,04",13,,
995,LENTE DE PROTEÇÃO- 3000W,7899765432149,"3.738,00",42,27.9*4.1MM,
995,LENTE DE PROTEÇÃO- 3000W,7899765432149,"558,00",9,24.9*15MM,
390,CABO DE ALTA TENSÃO PARA TUBO LASER SEM PLUG,500019,"4.759,94",226,,
468,"ROLAMENTO DO QUADRO DE MOVIMENTO X,Y - SG15",7890001003475,"2.844,00",118,,
695,TUBO LASER 90W MARCA SPT,7890001003321,"30.530,00",12,,
773,REGULADOR DE AR 8MM PARA MÁQUINAS DE CORTE A LASER,7890001003437,"400,34",14,,
873,CONJUNTO 3 ESPELHOS BLACK E 1 LENTE DE 20MM,7890001002928,"4.764,48",8,25MM,"58,1"
873,CONJUNTO 3 ESPELHOS BLACK E 1 LENTE DE 20MM,7890001002928,"603,90",1,25MM,76
873,CONJUNTO 3 ESPELHOS BLACK E 1 LENTE DE 20MM,7890001002928,"502,00",1,25MM,"63,5"
1031,FONTE CHAVEADA 3 EM 1 - 24V / +15-15 / 5V,7899765432224,"3.293,50",10,,
76,FONTE LASER 100W HY,7899765432230,"19.646,60",10,,
94,FONTE LASER 150W HY,7899765432234,"20.643,40",9,,
274,DIODO RED POINT MIRA LASER SUPORTE MAQUINA DE CORTE A LASER,7899765432276,"1.731,53",11,,
284,ESTABILIZADOR ENERGIA 3.3 KWA 220V MÁQUINAS DE CORTE A LASER,7899765432249,"7.092,15",9,,
346,SENSOR DE FIM DE CURSO - LEITOR FRONTAL,7890001003529,"1.115,95",13,,
458,PLUG CONECTOR FÊMEA PARA CABO DE ALTA TENSÃO (FONTE ),ML-C21,"1.127,48",32,,
941,LENTE AMERICANA (II-VI) DF 63.5 20MM,,"6.595,00",22,,
1270,MANGUEIRA DE EXAUSTÃO 5 METROS CINZA,7899765432159,"2.120,00",10,,
218,AMORTECEDOR TAMPA FRONTAL 35CM MÁQUINA CORTE LASER IMPORTADO,500007,"1.662,77",12,,
554,ÁGUA DESMINERALIZADA REFRIGERAÇÃO LASER CO2 CHILLER,DESMINERALIZADA,"295,01",17,,
567,LENTE AMERICANA (ZnSe) DF 50.8 MM 12MM,7899765432208,"1.811,80",8,,
775,REGULADOR DE AR 6MM PARA MÁQUINAS DE CORTE A LASER,7890001003420,"280,00",10,,
911,BICO DE CORTE 25MM PARA DE LENTE DE 20MM ( COM EXTENSOR),DF 50.8 / 100.1,"2.311,50",8,,
945,LENTE AMERICANA (II-VI) DF 50.8 20MM,,"5.430,00",18,,
983,LENTES AMERICANAS (ZNSE) 20MM,7899765432158,"277,20",1,"63,5",
983,LENTES AMERICANAS (ZNSE) 20MM,7899765432158,"554,40",2,76,
983,LENTES AMERICANAS (ZNSE) 20MM,7899765432158,"889,41",3,"100,1",
983,LENTES AMERICANAS (ZNSE) 20MM,7899765432158,"1.289,00",4,"38,1",
983,LENTES AMERICANAS (ZNSE) 20MM,7899765432158,"277,20",1,"50,8",
1007,DIODO RED POINT PARA CABEÇA SINO-GALVO,7899765432279,"2.087,70",12,,
1320,Etiqueta,0001,"35,00",8,,
286,EXAUSTOR PARA MÁQUINAS DE CORTE A LASER 550W MOD:ML550,7899765432253,"7.644,19",7,,
597,AMORTECEDOR TAMPA FRONTAL 41CM MÁQUINA CORTE LASER IMPORTADO,ML-40C,"1.924,63",12,,
769,CONJUNTO PLACA CONTROLADORA E PAINEL TOPWIDSOM A1,7890001002973,"13.998,29",7,,
1015,PAINEL DE COMANDO RDL-6445 PARA MÁQUINAS DE CORTE A LASER,RDL-6445,"9.281,87",7,,
1081,EXAUSTOR PARA MÁQUINAS DE CORTE A LASER 950W,7899765432255,"17.871,60",13,,
